Qual o bolo favorito do Chorão,O Charlie Brownie
Qual a cantora que é multiuso,Canivete Sangalo
Qual diretor de Hollywood que ganha muito dinheiro quando um filme é lançado,George Lucras
Como acaba uma partida de futebol entre patos,Empatado;
Por que o pinheiro nunca se perde na floresta,Porque ele tem uma pinha!
O que o pagodeiro foi fazer na igreja,Foi cantar pá god;
O que acontece com os leões quando as férias acabam,Volta jaulas!
Qual personagem solta peido de dois em dois,É o gasparzinho (Gás parzinho)
Qual é a fruta que sempre fica em segundo lugar,A banana prata
O que a mamãe açaí disse para os filhos,O último açaí fecha a porta
Qual jogo do windows ganha tudo que ele quer,É o campo mimado
Qual pintor que vende os quadros mais baratos,O Leonardo dá vinte e cinco de Março
O que uma lâmpada disse para outra,Não se Watts (Não se vá);
Qual tipo de queijo que se come quando está sozinho,Provolone (prove alone)
Qual o pote que toca música,O Spotify (“Is pote fy”)
E qual o pote que voa e toca música,O Spotifly (“Is pote fly”)
Onde os detentos escrevem as coisas do seu dia a dia,No presi diário
Por que o lagarto deixou seu filho de castigo,Porque ele réptil de ano.
Sabe por que sempre convidavam o Napoleão pras festinhas,Porque ele era Bom na Party.
Você sabe qual é o contrário de volátil,"Vem cá, sobrinho."
Uma pessoa passou dois dias na piscina e depois foi ao médico. Sabe qual foi o diagnóstico do médico,Nada demais.
Por que a formiga tem quatro patas,Porque se ela tivesse cinco se chamaria fivemiga.
Pq chama umbigo,"Pq se fosse dois, seria doisbigo"
Pra que serve o óculos verde,pra verdeperto
Pra que serve o óculos o marrom,Pra ver marromenos
Pra que serve o óculos o vermelho,Pra vermelhor
Por que o petróleo foi ao psicólogo,Porque ele estava no fundo do poço.
Como se dá um nó em duas motos,Vc pega elas Yamaha
Quem venceu a maratona de eletrodomésticos,"O chuveiro, porque ele tem resistência."
Você conhece a piada do pônei,Pô nei eu
"Um cachorro passou em um cinema e viu pedras, areia e tijolos. Qual é o nome do filme","Nenhum, o cinema estava em obras."
Por que a velhinha não usa relógio,Porque ela é sem hora
Você sabe quais foram as últimas palavras do rei do rock,Já Elvis.
Do que morreu Dom Pedro,Do ouvírus do Ipiranga.
Qual o nome do gato do japonês,Arigato
Qual animal é um ator lutador,O Jegue Chan
Qual é a cor do medo,Cor varde
"O que dá o cruzamento de pão, queijo e um macaco",X-panzé
Qual é o chá do careca,Chá péu
Qual é o presidente mais doce,Vladimir Pudim
Por que a fita isolante é melhor que a fita crepe,Porque ela é faixa preta
Por que o lutador teve rinite alérgica,Porque ele lutou ca poeira
Por que o anão foi no centro espírita,Para se tornar um médium.
O que o alienígena foi fazer em São Paulo,Foi visitar o Tio etê.
O que a minhoca disse pro minhoco,Você minhoquece!
O que o tijolo disse pro outro,Há um ciumento entre nós
Porque se deve ter cuidado ao levar um tombo na Ucrânia,Porque lá todo traumatismo é ucraniano!
"A menina dormiu muito, qual o nome do filme",Asleep no país das maravilhas
Qual animal que ninguém liga,Irrelefante
Qual escritor que não gosta da páscoa,Paulo Coelho
Que ator tá sempre na pior,Bad Pit.
Que atriz que tem um Renault,Clio Pires.
Qual a religião favorita dos ursos,A Umpanda.
Qual o urso que fazia mó confusão,O pandemônio.
Qual o ex que sempre será ex em qualquer namoro que ele começar,Exterminador.
Qual o chocolate favorito de quem tá em alto mar,Sonho de balsa.
Qual a cidade que os Jedi mais odeiam,Resith.
Qual alimento você conecta no USB,Barra de serial
Qual carro também é um brinquedo,TOYota
Qual Senador que proíbe piadas,Ri não Calheiros
Qual música fala sobre a morte de uma apresentadora de TV,O fantasma da Oprah.
Qual a dança que a princesa Isabel mais gostava,Dança do ventre livre.
Qual a série que ninguém tem os dedos normais,Stranger fingers.
Qual o site de busca que nunca funciona,Yahuim Respostas
Qual carro não sai da cabeça das pessoas,Lêndia Roover
Qual o apresentador francês com um talkshow no Brasil,O PeuJô Soares
Qual o Pokemon da ubanda,É o pikexu
O que acontece com um galo que come um carretel,Ele caga linha
Como chama o episódio final da série dos dentistas,Siso finale
De qual cobra o Cumpade Washington mais entende,"Ele sabe de Naja, inocente"
Por que os policiais não são bons mágicos,Porque ali é tudo armado
Qual o posto favorito dos anos 60,O posto Hippie ranga
Qual a mulher mais fria que existe,A Angeladeira
Qual ator levou água benta pra Casa Branca,O Benzel Washington
Qual o nome do pequeno quadrúpede criado no Japão,Japônei
Qual o chocolate preferido do mestre de obras,Pedreiro Rocher
Qual o sabor de bala preferido da galera do hospício,Dementos
"O suco pulou do alto da Torre Eiffel, qual o nome do filme",O último Tang em Paris
Qual X-men nunca falta ao trabalho,No turno
O que o tomate foi fazer no banco,Tirar o extrato
O que o pato falou para a pata,Vem quá
Por que há uma cama elástica no polo Norte,Pro Urso polar
Você conhece o site do cavalinho,www.cavalinho.com.com.com.com.com
Qual o cereal favorito do vampiro,Aveia
Sabe qual a banda que te avisa quando você está passando vergonha,Para more
Qual o chocolate preferido do Thor,Thortuguita
Onde o Mickey gosta de morar,No condoMini
Outro dia eu vi um kibe sem orelha. Sabe o que eu disse,Kibessurdo!
Você sabe qual a diferença entre a lagoa e a padaria,"Na lagoa há sapinho, e na padaria, assa pão"
Como se faz omelete de chocolate,Com ovos de páscoa
Como o Batman faz para que abram a bat-caverna,Ele bat-palma
"2 caixas de leite atravessaram a rua e foram atropeladas. Uma morreu, a outra não, por quê",Por que uma delas era Longa Vida
O que um fósforo falou para o outro,Não esquenta a cabeça
