texto,Comando
sentido,Acordar
por favor acorde,Acordar
bom dia flor do dia,Acordar
acorda dorminhoco,Acordar
larga de preguiça acorda,Acordar
bora levantar,Acordar
levantar,Acordar
você está atrasado acorda,Acordar
levanta,Acordar
abre esses olhinhos,Acordar
bom dia robô,Acordar
acorda pra cuspir,Acordar
levante,Acordar
vamos acordar,Acordar
bom dia flor do dia ,Acordar
abra os olhos,Acordar
hora de acordar,Acordar
vamos acordar robô,Acordar
robô,Acordar
levanta ai robo,Acordar
robô desperta,Acordar
para de roncar,Acordar
olá robô,Acordar
bom dia,Acordar
começar interação,Acordar
robô tá dormindo,Acordar
acordar,Acordar
e aí robo,Acordar
ei robozinho hora de acordar,Acordar
ligar ,Acordar
bom dia o sol já nasceu lá na fazendinha,Acordar
olá,Acordar
e aí,Acordar
já está na hora de acordar,Acordar
atenção,Acordar
tá na hora de acordar,Acordar
acordar robô ,Acordar
acorde robô,Acordar
vamo acordar,Acordar
oi ta aí,Acordar
vamos acordar ,Acordar
ei robô acorda,Acordar
ei acorda,Acordar
hora de levantar ,Acordar
acorda robô,Acordar
ae robô mano,Acordar
está na hora de levantar,Acordar
acorde,Acordar
acorda,Acordar
fulano hora de acordar ,Acordar
robô já está na hora de acordar,Acordar
oi robô,Acordar
bom dia robo,Acordar
acorda robô ,Acordar
bom dia ,Acordar
levanta ,Acordar
robô acorde,Acordar
desperte,Acordar
ei,Acordar
vamos acoorda que já é meio dia,Acordar
oi robô acorde,Acordar
preciso da sua ajuda,Acordar
robô ligue ,Acordar
vamo acorda,Acordar
ligue,Acordar
diria o nome dele,Acordar
acorde por favor,Acordar
acorda criatura,Acordar
bom dia robô ,Acordar
ligar,Acordar
bom dia vamos levantar,Acordar
acorda pra vida,Acordar
corda ai mano,Acordar
ei robô acordei,Acordar
é hora de acordar,Acordar
acorda fulano,Acordar
robo ativar,Acordar
bora acordar ,Acordar
oi    ,Acordar
bom dia robô    ,Acordar
robô acorda,Acordar
ou acoorda,Acordar
bom dia    ,Acordar
